"","Attribute","r"
"1","No. of seropositive",0.19
"2","Ethnicity",0.72
"3","Mobility",0.26
"4","Social vulnerability",0.23
"5","Host availability",0.07
"6","Infestation w/ vector",0.17
"7","Infestation w/ infected vector",0.11
"8","Degree (entire network)",-0.16
"9","Betweenness (entire network)",0.49
"10","Harmonic centrality (entire network)",0.85
"11","Degree (largest connnected component)",-0.49
"12","Betweenness (largest connnected component)",0.17
"13","Harmonic centrality (largest connnected component)",0.47
