"","depvar","covar","level","estimate","POR","LL","UL","P","AIC","nobs","ci_method","significance"
"1","v.inf","degree",NA,-0.067843224691677,"0.93","0.71","1.21",0.616718813727862,297.159505423427,258,"profile","ns"
"2","v.inf","degree.cat","1-2",-0.401444840571763,"0.67","0.37","1.21",0.18329111510219,297.644410416384,258,"profile","ns"
"3","v.inf","degree.cat","3+",-0.261215499261732,"0.77","0.26","2.05",0.616231127424236,297.644410416384,258,"profile","ns"
"4","v.inf","connected","Connected",-0.3799990352528,"0.68","0.39","1.21",0.190961849010165,295.717736378265,258,"profile","ns"
"5","v.inf","harmonic",NA,0.0480317168709356,"1.05","0.91","1.21",0.512000823515312,296.990507362251,258,"profile","ns"
"6","v.inf","betweenness",NA,0.00844461010974258,"1.01","0.99","1.02",0.297544439682682,296.376115680262,258,"profile","ns"
"7","v.inf","kin.svi.med",NA,0.540566598400811,"1.72","1.27","2.39",0.000783164475265302,284.742435209824,258,"profile","p<0.001"
"8","v.inf","kin.svi.relmed",NA,-0.0758120902632572,"0.93","0.68","1.27",0.635219366765194,297.189095025362,258,"profile","ns"
"9","v.inf","kin.iva.med",NA,0.0254133850062144,"1.03","0.65","1.44",0.88302056636597,297.393482040202,258,"profile","ns"
"10","v.inf","kin.occ.inf","1",0.407730114736885,"1.50","0.76","2.88",0.226018819516943,295.988953539824,258,"profile","ns"
"11","serology.child","degree",NA,-0.348631193174282,"0.71","0.48","0.99",0.0572355407550019,312.829641309961,506,"profile","ns"
"12","serology.child","degree.cat","1-2",-0.8644692219587,"0.42","0.22","0.82",0.00951508055354582,312.455257399506,506,"profile","p<0.01"
"13","serology.child","degree.cat","3+",-0.421637967353751,"0.66","0.18","1.93",0.476030060914686,312.455257399506,506,"profile","ns"
"14","serology.child","connected","Connected",-0.815589233398439,"0.44","0.24","0.85",0.0121413978380914,311.013453944864,506,"profile","p<0.05"
"15","serology.child","harmonic",NA,-0.181736318120702,"0.83","0.70","0.98",0.0378692489660827,312.123469945998,506,"profile","p<0.05"
"16","serology.child","betweenness",NA,-0.00785428145518222,"0.99","0.97","1.01",0.471821691400818,316.272807436164,506,"profile","ns"
"17","serology.child","kin.svi.med",NA,0.333530040231417,"1.40","0.97","2.07",0.0835619014150576,313.694628160187,506,"profile","ns"
"18","serology.child","kin.svi.relmed",NA,0.0583242944845741,"1.06","0.77","1.46",0.719395345689932,316.743865450158,506,"profile","ns"
"19","serology.child","kin.iva.med",NA,-0.0726792966836591,"0.93","0.40","1.25",0.754233676166866,316.751949267589,506,"profile","ns"
"20","serology.child","kin.occ.inf","1",0.470041188636422,"1.60","0.81","3.02",0.157072895738305,314.966562404394,506,"profile","ns"
